Font Size (px), Font Size (rem), Line Height (px), Line Height (ratio), Letter Spacing (%), Letter Spacing (em)
32, 2, 40, 1.25, 0.25, 0.0025
30, 1.875, 40, 1.3333, 0.47, 0.0047
29, 1.8125, 36, 1.2414, 0.59, 0.0059
27, 1.6875, 36, 1.3333, 0.85, 0.0085
25, 1.5625, 32, 1.28, 1.16, 0.0116
24, 1.5, 32, 1.3333, 1.33, 0.0133
23, 1.4375, 32, 1.3913, 1.52, 0.0152
21, 1.3125, 28, 1.3333, 1.95, 0.0195
20, 1.25, 28, 1.4, 2.2, 0.022
19, 1.1875, 28, 1.4737, 2.47, 0.0247
18, 1.125, 28, 1.5556, 2.78, 0.0278
17, 1.0625, 24, 1.4118, 3.12, 0.0312
16, 1, 24, 1.5, 3.5, 0.035
15, 0.9375, 24, 1.6, 3.93, 0.0393
14, 0.875, 24, 1.7143, 4.43, 0.0443
