Font Size (px), Font Size (rem), Line Height (px), Line Height (ratio), Letter Spacing (%), Letter Spacing (em)
64, 4, 72, 1.125, -1.37, -0.0137
57, 3.5625, 64, 1.1228, -1.18, -0.0118
51, 3.1875, 60, 1.1765, -0.96, -0.0096
45, 2.8125, 52, 1.1556, -0.69, -0.0069
40, 2.5, 48, 1.2, -0.4, -0.004
36, 2.25, 44, 1.2222, -0.11, -0.0011
32, 2, 40, 1.25, 0.25, 0.0025
29, 1.8125, 36, 1.2414, 0.59, 0.0059
25, 1.5625, 32, 1.28, 1.16, 0.0116
23, 1.4375, 32, 1.3913, 1.52, 0.0152
20, 1.25, 28, 1.4, 2.2, 0.022
18, 1.125, 28, 1.5556, 2.78, 0.0278
16, 1, 24, 1.5, 3.5, 0.035
14, 0.875, 24, 1.7143, 4.43, 0.0443
13, 0.8125, 20, 1.5385, 5, 0.05
